requirement_id,section_number,section_title,release,primary_domain,summary,primary_type,secondary_types,automatic_primary_type,primary_type_changed,classification_reason
REQ-CONTENT-006,3,学習内容モデル,初期リリース必須,A,学習者向け画面では、 教材内部の章番号や管理コードよりも、 学習内容が理解できる名称を表示すること。,FUNC,"RULE,DATA",DATA,yes,子ども用画面に管理コードではなく理解可能な学習内容名を表示する機能
REQ-CONTENT-007,3,学習内容モデル,初期リリース必須,A,学校教科と検定で異なる分類構造を扱えること。 学習分類の階層数や表示名を、 学習対象ごとに変更できるものとする。,DATA,RULE,DATA,no,学習対象ごとに異なる階層数・表示名を持つ分類構造を表現するデータ要件
REQ-CONTENT-008,3,学習内容モデル,初期リリース必須,A,学習テーマを、 単独で学習・復習できる意味的なまとまりとして管理すること。,DATA,RULE,DATA,no,学習テーマを単独学習・復習可能な意味的単位として保持する
REQ-CONTENT-009,3,学習内容モデル,初期リリース後,A,1つの問題へ主となる学習テーマに加え、 副テーマまたは関連タグを設定できること。,DATA,,DATA,no,問題に主テーマ・副テーマ・関連タグを設定するデータ要件
REQ-CONTENT-010,3,学習内容モデル,初期リリース必須,A,問題、学習テーマ、教材、問題集などの内部識別子を、 利用者向け表示名から分離すること。 内部識別子は原則として子ども用画面に表示しない。,RULE,"DATA,FUNC",DATA,yes,内部識別子と表示名を分離し、子ども用画面へ原則表示しない規則
REQ-SOURCE-001,4,学校教科の範囲・出典管理,初期リリース必須,C,学校教科の問題について、 対応する教科書ページまたは教科書範囲を管理できること。,DATA,,RULE,yes,問題と教科書ページ・範囲の対応情報を保持する
REQ-SOURCE-002,4,学校教科の範囲・出典管理,初期リリース必須,C,教科書ページなどの範囲情報と、 問題作成・内容確認に使用した資料を分離して管理すること。,RULE,DATA,RULE,no,出題範囲情報と作成根拠資料を別概念として管理する原則
REQ-SOURCE-003,4,学校教科の範囲・出典管理,初期リリース必須,C,1つの問題に複数の出典資料を関連付けられること。 対象例: - 教科書 - 学校ワーク - 配布プリント - 自主学習教材 - 過去問,DATA,RULE,RULE,yes,一つの問題に複数出典を対応付けられる情報構造
REQ-SOURCE-004,4,学校教科の範囲・出典管理,初期リリース必須,C,応用問題・発展問題についても、 前提となる教科書範囲と学習テーマを関連付けること。,RULE,DATA,RULE,no,応用・発展問題にも前提範囲と学習テーマを関連付ける教材管理原則
REQ-SOURCE-005,4,学校教科の範囲・出典管理,初期リリース必須,C,問題について、 作成区分を管理できること。 初期候補: - 教科書基本 - 教材補完 - 統合 - 応用 - 発展,DATA,,RULE,yes,問題の作成区分を保持するデータ要件
REQ-SOURCE-006,4,学校教科の範囲・出典管理,初期リリース必須,C,教科書ページと学習テーマの両方から、 教材の網羅性を確認できること。,FUNC,DATA,RULE,yes,教科書ページと学習テーマの両面から網羅性を確認する機能
REQ-SOURCE-007,4,学校教科の範囲・出典管理,初期リリース後,C,複数教材を照合し、 不足している知識・技能・問題形式を確認できること。,FUNC,"OPS,DATA",RULE,yes,複数教材を照合して不足する学習要素を確認する機能
REQ-SOURCE-008,4,学校教科の範囲・出典管理,初期リリース必須,C,問題案について、 作成後にレビューし、採用・修正・不採用を管理できること。,OPS,"DATA,FUNC",RULE,yes,問題案をレビューし採否・修正状態を管理する教材作成運用
REQ-COLLECTION-001,5,問題集,初期リリース必須,D,問題集を、既存問題を参照する集合として管理すること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-COLLECTION-002,5,問題集,初期リリース必須,D,問題集は、 明示的に選択した問題によって構成できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-COLLECTION-003,5,問題集,初期リリース後,D,問題集を、 学習テーマ、出典範囲、難易度、問題形式などの抽出条件から構成できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-COLLECTION-004,5,問題集,初期リリース後,D,教科書ページを基準とした問題集へ、 教材補完・応用・発展問題も含められること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-MEDIA-001,6,表示用資料・メディア,初期リリース必須,B,問題作成の根拠となる出典資料と、 学習者へ表示する資料を分離して管理すること。,RULE,DATA,FUNC,yes,問題作成の根拠資料と学習者向け表示資料を分離して管理する原則
REQ-MEDIA-002,6,表示用資料・メディア,初期リリース必須,B,表示用資料を、 次の表示段階ごとに分けて管理できること。 - 問題表示時 - 解答表示時 - 解説表示時,DATA,RULE,FUNC,yes,表示資料を問題・解答・解説の表示段階別に保持するデータ要件
REQ-MEDIA-004,6,表示用資料・メディア,初期リリース必須,B,画像を問題、解答、解説で表示できること。,FUNC,DATA,FUNC,no,画像を問題・解答・解説の各表示段階で表示する機能
REQ-MEDIA-005,6,表示用資料・メディア,初期リリース必須,B,表示資料ごとに表示順を指定できること。,DATA,FUNC,FUNC,yes,表示資料ごとの表示順を設定・保持するデータ要件
REQ-MEDIA-006,6,表示用資料・メディア,初期リリース必須,B,画像には代替テキストを設定すること。,DATA,"QUAL,RULE",FUNC,yes,画像へ代替テキストを設定するアクセシビリティ情報のデータ要件
REQ-MEDIA-007,6,表示用資料・メディア,初期リリース必須,B,表示資料へ必要に応じて説明文またはキャプションを設定できること。,DATA,FUNC,FUNC,yes,表示資料へ説明文・キャプションを設定するデータ要件
REQ-MEDIA-008,6,表示用資料・メディア,初期リリース必須,B,スマートフォン画面で画像が表示領域からはみ出さないこと。,QUAL,FUNC,FUNC,yes,スマートフォンで画像を表示領域からはみ出させないレスポンシブ表示品質要件
REQ-MEDIA-009,6,表示用資料・メディア,初期リリース後,B,画像の細部を確認するための拡大表示を提供すること。,FUNC,QUAL,FUNC,no,画像細部を確認するための拡大表示機能
REQ-MEDIA-010,6,表示用資料・メディア,初期リリース必須,B,構造化された表およびグラフを表示資料として扱えること。,FUNC,DATA,FUNC,no,構造化された表・グラフを表示資料として扱う機能
REQ-MEDIA-011,6,表示用資料・メディア,初期リリース必須,B,長文および会話文を、 問題と関連する表示資料として扱えること。,FUNC,DATA,FUNC,no,長文・会話文を問題に関連する表示資料として扱う機能
REQ-MEDIA-012,6,表示用資料・メディア,初期リリース必須,B,音声を表示・再生資料として扱えること。,FUNC,DATA,FUNC,no,音声を表示・再生資料として扱う機能
REQ-MEDIA-013,6,表示用資料・メディア,将来候補,B,動画を表示資料として扱えること。,FUNC,"DATA,SCOPE",FUNC,no,動画を表示資料として扱う将来候補の機能
REQ-MEDIA-014,6,表示用資料・メディア,初期リリース必須,B,表示する画像は、 自作、利用許諾済み、または利用条件上問題のないものに限定すること。,RULE,"DATA,OPS,QUAL",FUNC,yes,表示画像を自作・許諾済み・利用条件上問題ない素材へ限定する権利保護規則
REQ-PROGRESS-001,7,学習履歴・進捗,初期リリース必須,F,問題ごとの進捗を永続的に保存すること。,DATA,QUAL,FUNC,yes,問題ごとの進捗を永続的に保持するデータ要件
REQ-PROGRESS-002,7,学習履歴・進捗,初期リリース必須,F,同じ問題を複数の問題集で利用した場合も、 問題ごとの進捗を共有すること。,RULE,DATA,FUNC,yes,同一問題を複数問題集で利用しても問題単位の進捗を共有する規則
REQ-PROGRESS-003,7,学習履歴・進捗,初期リリース必須,F,学習テーマや出題分野の進捗を、 問題ごとの進捗から集計すること。,FUNC,"DATA,RULE",FUNC,no,問題別進捗から学習テーマ・分野別進捗を集計する機能
REQ-PROGRESS-004,7,学習履歴・進捗,初期リリース必須,F,教材、学習テーマ、出題分野、問題集など、 複数の単位で進捗を集計・表示できること。,FUNC,DATA,FUNC,no,教材・テーマ・分野・問題集など複数単位で進捗を集計・表示する機能
REQ-AUTHORING-001,8,教材作成・検証,初期リリース必須,C,学校教科の教材作成では、 教科書の基本事項から問題を作成できること。,OPS,FUNC,OPS,no,教科書の基本事項から問題を作成する教材作成運用
REQ-AUTHORING-002,8,教材作成・検証,初期リリース必須,C,ワーク、プリントなどの内容を、 対応する教科書範囲へ関連付けられること。,DATA,"OPS,RULE",OPS,yes,ワーク・プリント内容を対応する教科書範囲へ関連付けるデータ要件
REQ-AUTHORING-003,8,教材作成・検証,初期リリース後,C,既存問題と新規資料を照合し、 不足している観点を確認できること。,FUNC,"OPS,DATA",OPS,yes,既存問題と新規資料を照合し不足観点を確認する機能
REQ-AUTHORING-004,8,教材作成・検証,初期リリース必須,C,問題作成後に、 内容、出典、分類、正解、解説を検証できること。,OPS,"FUNC,RULE",OPS,no,問題作成後に内容・出典・分類・正解・解説を確認する教材品質管理運用
REQ-AUTHORING-005,8,教材作成・検証,初期リリース必須,C,教材登録前に、 必須項目、参照先、識別子の重複などを機械的に検証できること。,FUNC,"OPS,DATA",OPS,yes,登録前に必須項目・参照・ID重複を機械検証する機能
REQ-NFR-001,9,非機能要求,初期リリース必須,H,スマートフォンを主要利用端末として、 学習画面を操作できること。,QUAL,"FUNC,SCOPE",QUAL,no,主要利用端末であるスマートフォンで学習画面を操作可能にする適合性要件
REQ-NFR-002,9,非機能要求,初期リリース必須,H,問題データや教材追加によって、 アプリ本体を教材ごとに変更する必要がないこと。,QUAL,RULE,QUAL,no,教材・問題追加のたびにアプリ本体を変更しなくてよい拡張性要件
REQ-NFR-003,9,非機能要求,初期リリース必須,H,教材・問題・学習分類・出典・進捗の各責務を分離し、 特定教材への依存を避けること。,QUAL,"RULE,DATA",QUAL,no,教材・問題・分類・出典・進捗の責務を分離し特定教材への依存を避ける保守性要件
REQ-NFR-004,9,非機能要求,初期リリース必須,H,著作権上公開できない原本資料を、 公開アセットや公開リポジトリへ保存しないこと。,RULE,"OPS,QUAL",QUAL,yes,著作権上公開不能な原本を公開アセットや公開リポジトリへ保存しない権利保護規則
REQ-NFR-005,9,非機能要求,初期リリース必須,H,利用者向け表示名と内部識別情報を分離し、 内部識別子の文字列構造に画面や業務ロジックを依存させないこと。,QUAL,"RULE,DATA",QUAL,no,表示名と内部識別情報を分離し、ID文字列構造へ画面・業務処理を依存させない保守性要件
REQ-QUESTION-001,12,問題本体・共通メタデータ,初期リリース必須,B,問題について、少なくとも次を分離して管理できること。 - 問題文 - 解答 - 解説 - 選択肢 - 採点方針 - 状態 - 分類・出典などのメタデータ,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-QUESTION-002,12,問題本体・共通メタデータ,初期リリース必須,B,問題ごとに、学習者向けの短い表示名を設定できること。,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-QUESTION-003,12,問題本体・共通メタデータ,初期リリース必須,B,問題が学校教科、検定、または両方に関連することを表現できること。,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-QUESTION-004,12,問題本体・共通メタデータ,初期リリース必須,B,学校教科の問題について、次の属性を管理できること。 - 教科 - 学年・学習段階 - 単元・学習テーマ - 教科書範囲 - 定期テスト範囲との関係,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-QUESTION-005,12,問題本体・共通メタデータ,初期リリース必須,B,検定問題について、次の属性を管理できること。 - 検定種別 - 級 - 試験区分 - 公式出題範囲 - 出題形式,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-QUESTION-006,12,問題本体・共通メタデータ,初期リリース後,B,検定問題について、受験予定日や目標期間を関連付けられること。,DATA,,DATA,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-TAG-001,13,分類・タグ・難易度,初期リリース必須,B,問題へ、内容領域を示す分類を複数設定できること。,DATA,,DATA,no,問題へ複数の内容領域分類を関連付けるデータ要件
REQ-TAG-002,13,分類・タグ・難易度,初期リリース必須,B,問題へ、問題形式を示す分類を設定できること。 対象例: - 一問一答 - 計算 - 選択 - 穴埋め - 書き取り - 文章題 - 長文読解 - 英作文 - リスニング - 作図 - 表・グラフ・地図・年表,DATA,,DATA,no,問題へ計算・選択・記述・音声・図表などの問題形式分類を設定する
REQ-TAG-003,13,分類・タグ・難易度,初期リリース必須,B,問題へ、必要な知識項目を複数関連付けられること。,DATA,,DATA,no,問題へ複数の必要知識項目を関連付けるデータ要件
REQ-TAG-004,13,分類・タグ・難易度,初期リリース必須,B,問題へ、解答に必要な技能を複数関連付けられること。 技能例: - 読む - 書く - 計算する - 聞き取る - 話す - 説明する - 比較する - 図表を読む - 条件を整理する,DATA,,DATA,no,問題へ読む・書く・計算・説明などの必要技能を複数関連付ける
REQ-TAG-005,13,分類・タグ・難易度,初期リリース後,B,問題へ、定期テスト、検定対策、弱点補強、復習などの利用目的を示す属性を設定できること。 目的別問題集への所属そのものとは分離する。,DATA,RULE,DATA,no,利用目的属性を問題へ保持しつつ、目的別問題集への所属とは分離する
REQ-TAG-006,13,分類・タグ・難易度,初期リリース必須,B,問題へ難易度を設定できること。 初期表示候補: - 基本 - 標準 - 応用 - 本番相当 難易度の厳密な算出方式は別途決定する。,DATA,SCOPE,DATA,no,基本・標準・応用・本番相当などの難易度属性を問題へ保持する
REQ-ANSWER-001,14,解答・採点,初期リリース必須,B,問題形式に応じて、次の解答方式を扱えること。 - 正確一致 - 複数の許容解答 - 数値解答 - 自由記述 - 学習者または保護者による自己判定 - 評価基準に基づく採点,FUNC,"DATA,RULE",DATA,yes,問題形式に応じて自動判定・許容解答・数値・自由記述・自己判定・基準採点を扱う機能
REQ-ANSWER-002,14,解答・採点,初期リリース必須,B,問題ごとに複数の許容解答を設定できること。,DATA,RULE,DATA,no,問題ごとに複数の許容解答を設定・保持するデータ要件
REQ-ANSWER-003,14,解答・採点,初期リリース必須,B,必要に応じて、次の採点条件を設定できること。 - 大文字・小文字の区別 - かな・漢字の許容 - 単位の必須性 - 手動採点の要否,DATA,RULE,DATA,no,大文字小文字・文字種・単位・手動採点要否などを採点条件として保持する
REQ-ANSWER-004,14,解答・採点,初期リリース必須,B,記述式・作文・説明問題など、 自動的な正誤判定が適さない問題を手動判定できること。,FUNC,"RULE,DATA",DATA,yes,自動判定に適さない記述・作文・説明問題を手動で判定する機能
REQ-ANSWER-005,14,解答・採点,初期リリース必須,B,記述式・作文・スピーキングなどに、 複数観点の評価基準を設定できること。,DATA,RULE,DATA,no,記述・作文・スピーキングに対する複数観点の評価基準を保持する
REQ-TIMER-001,15,タイマー・学習条件,初期リリース必須,D,問題ごとに、推奨回答時間を設定できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-TIMER-002,15,タイマー・学習条件,初期リリース必須,D,問題ごとの推奨時間よりも、 問題集または学習セッションの設定を優先できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-TIMER-003,15,タイマー・学習条件,初期リリース必須,D,次のようなタイマー利用形態を扱えること。 - 通常 - 短時間 - タイマーなし - 本番形式 具体的な内部値や秒数の候補は技術・UI設計時に決定する。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-AUDIO-001,16,音声・スピーキング,初期リリース必須,B,音声について、次の種別を扱えること。 - 単語 - 文 - 会話 - 長文 - 指示音声,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-AUDIO-002,16,音声・スピーキング,初期リリース必須,B,音声へ文字起こしを関連付けられること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-AUDIO-003,16,音声・スピーキング,初期リリース必須,B,音声の再生方法として、少なくとも通常再生と繰り返し再生を扱えること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-AUDIO-004,16,音声・スピーキング,初期リリース後,B,シャドーイングなど、学習目的別の音声再生方式を提供できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-SPEAKING-001,16,音声・スピーキング,初期リリース後,B,次のスピーキング練習形式を扱えること。 - 音読 - 質問応答 - スピーチ - 面接,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-SPEAKING-002,16,音声・スピーキング,初期リリース後,B,スピーキング問題へ、模範文または参考文を設定できること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-SPEAKING-003,16,音声・スピーキング,将来候補,B,発音、流暢さ、正確さ、内容、文法、語彙などを、 音声認識やAIによって評価し、学習者へフィードバックできること。,RULE,,RULE,no,個別監査対象および追加監査条件に該当しないため、自動主候補を採用
REQ-STATUS-001,17,データ状態・修正・廃止,初期リリース必須,C,教材、問題、問題集などについて、 少なくとも次の状態を区別できること。 - 作成中 - 利用可能 - 利用停止 - 置き換え済み 状態名や詳細な状態遷移はデータモデル設計時に確定する。,DATA,RULE,DATA,no,教材・問題・問題集の作成中・利用可能・停止・置換済みなどの状態を保持する
REQ-STATUS-002,17,データ状態・修正・廃止,初期リリース必須,H,学習履歴や他データから参照される公開済み問題を、 安易に物理削除しないこと。,RULE,"DATA,QUAL",DATA,yes,履歴や他データから参照される公開済み問題を安易に物理削除しない保全規則
REQ-STATUS-003,17,データ状態・修正・廃止,初期リリース必須,C,軽微な誤字修正と、 問題の意味が変わる修正を区別できること。,DATA,RULE,DATA,no,軽微な誤字修正と意味変更を伴う修正を異なる修正種別として管理する
REQ-STATUS-004,17,データ状態・修正・廃止,初期リリース必須,C,問題の意味や正解が変わる修正について、 変更理由と変更履歴を残すこと。,DATA,"OPS,RULE",DATA,no,意味・正解が変わる修正について変更理由と履歴を保持するデータ要件
REQ-STATUS-005,17,データ状態・修正・廃止,初期リリース必須,C,別問題とみなすべき修正では新しい問題として登録し、 旧問題を利用停止または置き換え済みとして保持できること。,RULE,"DATA,OPS",DATA,yes,別問題相当の変更では新規問題を作成し、旧問題を停止・置換済みとして保持する規則
REQ-ID-001,18,ID・コード・表示名,初期リリース必須,H,IDはデータを一意に識別する内部キーとし、 分類、表示順、学習内容などの意味を判断するために使用しないこと。,RULE,DATA,DATA,yes,IDを識別専用とし分類・順序・意味の判断材料にしない設計原則
REQ-ID-002,18,ID・コード・表示名,初期リリース必須,H,コードは分類・順序・学習内容を管理する記号とし、 内部IDとは分離すること。,RULE,DATA,DATA,yes,意味を持つコードと内部IDを別概念として扱う設計原則
REQ-ID-003,18,ID・コード・表示名,初期リリース必須,H,表示名は利用者向け名称とし、 参照キーとして使用しないこと。,RULE,DATA,DATA,yes,利用者向け表示名を参照キーとして使用しない規則
REQ-ID-004,18,ID・コード・表示名,初期リリース必須,H,問題、教材、問題集、学習分類、出典資料など、 主要な管理対象を一意に識別できること。,DATA,QUAL,DATA,no,主要管理対象へ一意な識別子を持たせるデータ要件
REQ-ID-005,18,ID・コード・表示名,初期リリース必須,H,公開後に他データから参照される内部IDは、 原則として変更しないこと。,RULE,"DATA,QUAL",DATA,yes,公開後に参照される内部IDを原則変更しない安定参照規則
REQ-ID-006,18,ID・コード・表示名,初期リリース必須,H,画面や業務ロジックが、 IDの接頭辞、桁位置、文字列の一部などに依存しないこと。,RULE,QUAL,DATA,yes,画面・業務ロジックをID文字列構造へ依存させない設計原則
REQ-ID-007,18,ID・コード・表示名,初期リリース必須,H,表示順はID文字列から推測せず、 明示的な順序情報によって管理すること。,RULE,DATA,DATA,yes,表示順をIDから推測せず明示的な順序情報で管理する規則
REQ-ID-008,18,ID・コード・表示名,初期リリース必須,H,完成版のID形式、使用可能文字、採番方式は、 DBモデルとAPI設計時に確定すること。 既存試作の命名規則をそのまま必須要件とはしない。,SCOPE,"RULE,DATA",DATA,yes,具体的なID形式・採番方式を後続設計で決定し、旧試作規則を必須としない設計範囲
REQ-SCHEMA-001,19,必須項目・一意性・参照整合性,初期リリース必須,H,主要データについて、 必須項目と任意項目を明示的に定義すること。,DATA,RULE,DATA,no,主要データの必須項目と任意項目を明示するデータ定義
REQ-UNIQUENESS-001,19,必須項目・一意性・参照整合性,初期リリース必須,H,問題、教材、問題集、学習分類などの内部IDに、 適切な一意制約を設定すること。,DATA,QUAL,DATA,no,主要データの内部IDへ一意制約を設定するデータ要件
REQ-REFERENCE-001,19,必須項目・一意性・参照整合性,初期リリース必須,H,問題集が参照する問題は、 登録済みかつ参照可能な問題であること。,RULE,DATA,DATA,yes,問題集が登録済みかつ参照可能な問題だけを参照する整合性規則
REQ-REFERENCE-002,19,必須項目・一意性・参照整合性,初期リリース必須,H,問題が参照する学習分類、出典、表示アセットなどは、 登録済みの参照先であること。,RULE,DATA,DATA,yes,問題の分類・出典・アセット参照先が登録済みであることを求める規則
REQ-REFERENCE-003,19,必須項目・一意性・参照整合性,初期リリース必須,H,階層構造を持つ学習分類では、 親子関係の整合性を検証すること。,FUNC,"DATA,QUAL",DATA,yes,階層分類の親子関係の整合性を検証する機能
REQ-REFERENCE-004,19,必須項目・一意性・参照整合性,初期リリース必須,H,利用停止または置き換え済みの問題を問題集へ含める場合、 管理者が意図的に判断できること。,FUNC,"OPS,RULE",DATA,yes,利用停止・置換済み問題を含める際に管理者が明示判断できる機能
REQ-VALIDATION-001,19,必須項目・一意性・参照整合性,初期リリース必須,H,教材登録時に、少なくとも次を機械的に検証すること。 - 必須項目の欠落 - IDの重複 - 存在しない参照先 - 問題数などの集計値との不一致 - 許可されていない状態のデータ参照,FUNC,"DATA,QUAL",DATA,yes,教材登録時に必須項目・ID・参照・集計値・状態値を機械検証する機能
REQ-VALIDATION-002,19,必須項目・一意性・参照整合性,初期リリース必須,H,データの妥当性検証を、 手動確認だけに依存せず、自動実行できること。,FUNC,"OPS,QUAL",DATA,yes,手動確認だけに依存せずデータ妥当性検証を自動実行する機能
REQ-VALIDATION-003,19,必須項目・一意性・参照整合性,初期リリース必須,H,データ検証を開発環境および継続的な検証工程で実行できること。 具体的なCI製品や実行方式は技術選定後に決定する。,OPS,"FUNC,QUAL",DATA,yes,開発環境と継続的検証工程でデータ検証を実行する運用要件
REQ-PURPOSE-001,21,目的別問題集,初期リリース必須,D,教材そのものとは別に、 学習目的に応じて既存問題を束ねた目的別問題集を管理できること。,DATA,RULE,RULE,yes,教材とは独立した目的別問題集とその問題集合を保持する
REQ-PURPOSE-002,21,目的別問題集,初期リリース必須,D,1つの問題を、 複数の目的別問題集から再利用できること。,RULE,DATA,RULE,no,同一問題を複数の目的別問題集で再利用可能とする構造原則
REQ-PURPOSE-003,21,目的別問題集,初期リリース必須,D,目的別問題集について、 少なくとも次の用途を扱えること。 - 定期テスト対策 - 検定対策 - 弱点補強 - 復習 - 本番形式演習 - 印刷用演習 - 移動中・運動中の短時間演習,SCOPE,FUNC,RULE,yes,目的別問題集で対応する学習用途の対象範囲を定義する
REQ-PURPOSE-004,21,目的別問題集,初期リリース後,D,先取り学習用の目的別問題集を扱えること。,SCOPE,FUNC,RULE,yes,初期リリース後に対応する先取り学習用途の範囲を定義する
REQ-PURPOSE-005,21,目的別問題集,初期リリース必須,D,目的別問題集を、 管理者が明示的に選択した問題の集合として作成できること。,FUNC,"OPS,DATA",RULE,yes,管理者が問題を明示選択して目的別問題集を作成する機能
REQ-PURPOSE-006,21,目的別問題集,初期リリース後,D,目的別問題集を、 分類、出典範囲、問題形式、難易度、学習履歴などの 抽出条件から動的に構成できること。,FUNC,"DATA,RULE",RULE,yes,抽出条件から目的別問題集を動的構成する機能
REQ-PURPOSE-007,21,目的別問題集,初期リリース後,D,明示的に選択した問題と、 抽出条件で選択した問題を組み合わせて 目的別問題集を構成できること。,FUNC,DATA,RULE,yes,明示選択と抽出条件を組み合わせて問題集を構成する機能
REQ-PURPOSE-008,21,目的別問題集,初期リリース必須,D,1つの目的別問題集が、 複数の教材に属する問題を参照できること。 初期リリースの基準問題セットで、 複数教材参照を少数の問題で検証する。,DATA,RULE,RULE,yes,一つの目的別問題集から複数教材の問題を参照できる情報構造
REQ-PURPOSE-009,21,目的別問題集,初期リリース必須,D,目的別問題集について、少なくとも次を管理できること。 - 表示名 - 説明 - 学習目的 - 問題の選択方法 - 対象問題 - 出題順 - 出題数 - タイマー設定 - 印刷設定 - 公開状態,DATA,,RULE,yes,目的別問題集で保持する属性と設定を定義する
REQ-PURPOSE-010,21,目的別問題集,初期リリース必須,D,公開前の目的別問題集は、 子ども用画面から開始できないこと。,RULE,FUNC,RULE,no,公開前の問題集を子どもが開始できないようにする利用制御規則
REQ-QUIZ-001,22,出題順・出題数,初期リリース必須,D,問題集または学習セッションで、 固定順とランダム順を選択できること。,FUNC,"RULE,DATA",RULE,yes,固定順とランダム順を選択する出題設定機能
