review_target_id,target_kind,primary_domain,secondary_domain,requirement_id_1,requirement_id_2,requirement_text_1,requirement_text_2,release_1,release_2,primary_type_1,primary_type_2,candidate_types,missing_legacy_ids,source_details,review_status,decision,decision_reason,inventory_change_required,source_domain,source_file
RVIEW-012,PAIR,A,C,REQ-CONTENT-003,REQ-SOURCE-002,次の概念を分離して管理すること。 - 学習内容の分類 - 問題 - 問題集 - 問題の出典 - 教科書ページなどの範囲情報 - 学習履歴・進捗,教科書ページなどの範囲情報と、 問題作成・内容確認に使用した資料を分離して管理すること。,初期リリース必須,初期リリース必須,RULE,RULE,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=22 similarity=0.387,REVIEWED,KEEP_SEPARATE,概念全体を分離する上位原則と、範囲情報と作成資料を分離する具体的な出典管理規則である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-013,PAIR,A,A,REQ-COVERAGE-001,REQ-COVERAGE-005,カタログ項目ごとに、 関連付けられた問題の有無と問題数を確認できること。,カタログ項目ごとに、 必要問題数や必要問題形式の目標を設定し、 充足状況を確認できること。,初期リリース必須,初期リリース後,FUNC,FUNC,CONTRADICTION;SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=22 similarity=0.340 prefix=COVERAGE || requirements_contradiction_candidates_v0_1.txt block=9 similarity=0.340,REVIEWED,KEEP_SEPARATE,現存問題数の把握は初期機能であり、必要数・必要形式の目標設定と充足判定は追加的な計画機能である。リリース区分差も妥当である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-014,PAIR,A,B,REQ-TARGET-003,REQ-VISUAL-002,1つの問題へ複数の習得対象を関連付け、 1つの習得対象を複数の問題から学習できること。,1つの問題へ、 複数の表示資料を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=21 similarity=0.389,REVIEWED,KEEP_SEPARATE,習得対象との学習上の関連付けと、表示資料との提示上の関連付けは意味が異なる。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-015,SINGLE,A,,REQ-CATALOG-006,,カタログ項目について、 少なくとも次を管理できること。 - 表示名 - 説明 - 親項目 - 表示順 - 対象教科または検定 - 学年または級 - 有効状態,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=17 score=17.63 length=63 bullets=7 numbered=0 connectors=3,REVIEWED,KEEP_SEPARATE,列挙項目はカタログ項目という単一エンティティの基本属性であり、個別要求へ分割する必要はない。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-016,SINGLE,A,,REQ-CATALOG-REF-004,,問題とカタログ項目の関係について、 必要に応じて対応の役割を区別できること。 役割例: - 主たる学習対象 - 補助的な学習対象 - 前提知識 - 関連知識 - 応用先,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=64 score=10.72 length=72 bullets=5 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙は問題とカタログ項目の関連に設定する役割値の例であり、1つのまとまったデータ要件である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-017,SINGLE,A,,REQ-CATALOG-STRUCTURE-003,,教科または検定の特性に応じて、 次の要素を階層項目または横断的な分類として表現できること。 - 学習領域 - 学習テーマ - 知識項目 - 技能 - 出題形式 - 場面または用途,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=29 score=15.76 length=76 bullets=6 numbered=0 connectors=3,REVIEWED,KEEP_SEPARATE,列挙項目は教科・検定ごとに選択して表現する分類次元の例であり、固定の独立機能として分割すべきではない。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-018,SINGLE,A,,REQ-CONTENT-003,,次の概念を分離して管理すること。 - 学習内容の分類 - 問題 - 問題集 - 問題の出典 - 教科書ページなどの範囲情報 - 学習履歴・進捗,,初期リリース必須,,RULE,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=56 score=12.59 length=59 bullets=6 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙された概念を相互に分離すること自体が1つのアーキテクチャ原則であり、分割すると原則の全体性が失われる。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-019,SINGLE,A,,REQ-SCOPE-004,,学校教科と外部検定を、 同一のアプリ基盤で管理・学習できること。 初期対象候補: - 国語 - 数学 - 理科 - 社会 - 英語 - 漢検 - 英検 - 数検 すべての教材を初期リリース時に登録することまでは必須としない。,,初期リリース必須,,FUNC,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=21 score=16.93 length=93 bullets=8 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙は初期対象候補の例であり、要求本体は学校教科と外部検定を共通基盤で扱うことである。教科別要求への分割は不要である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-020,SINGLE,A,,REQ-TARGET-001,,問題について、 その問題で身につける具体的な習得対象を 複数設定できること。 習得対象例: - 漢字 - 英単語 - 文法事項 - 数学の概念 - 計算方法 - 公式 - 理科用語 - 歴史上の出来事,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=24 score=16.81 length=81 bullets=8 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙は習得対象として扱える内容の例であり、各例を独立要求へ分割する必要はない。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-021,PAIR,B,G,REQ-ANSWER-002,REQ-PAPER-004,問題ごとに複数の許容解答を設定できること。,問題ごとに、 解答用紙を必要とするかを設定できること。,初期リリース必須,初期リリース必須,DATA,FUNC,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=16 similarity=0.400,REVIEWED,KEEP_SEPARATE,許容解答の設定と解答用紙要否の設定は、採点データと印刷機能という異なる責務である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-022,PAIR,B,G,REQ-ANSWER-002,REQ-PRINT-002,問題ごとに複数の許容解答を設定できること。,問題ごとに、 印刷可能かどうかを設定できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=20 similarity=0.393,REVIEWED,KEEP_SEPARATE,許容解答と印刷可否は、問題に設定する属性である点だけが共通し、意味と用途は異なる。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-023,PAIR,B,D,REQ-ANSWER-002,REQ-TIMER-001,問題ごとに複数の許容解答を設定できること。,問題ごとに、推奨回答時間を設定できること。,初期リリース必須,初期リリース必須,DATA,RULE,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=12 similarity=0.423,REVIEWED,KEEP_SEPARATE,許容解答と推奨回答時間は、採点条件と時間制御という異なる要求である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-024,PAIR,B,G,REQ-ANSWER-003,REQ-LAYOUT-003,必要に応じて、次の採点条件を設定できること。 - 大文字・小文字の区別 - かな・漢字の許容 - 単位の必須性 - 手動採点の要否,必要に応じて、 問題の前で改ページできること。,初期リリース必須,初期リリース必須,DATA,FUNC,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=27 similarity=0.164,REVIEWED,KEEP_SEPARATE,採点条件と改ページ条件は対象機能が異なり、実質的な矛盾はない。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-025,PAIR,B,B,REQ-ANSWER-003,REQ-MEDIA-007,必要に応じて、次の採点条件を設定できること。 - 大文字・小文字の区別 - かな・漢字の許容 - 単位の必須性 - 手動採点の要否,表示資料へ必要に応じて説明文またはキャプションを設定できること。,初期リリース必須,初期リリース必須,DATA,DATA,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=16 similarity=0.190,REVIEWED,KEEP_SEPARATE,採点条件と表示資料の説明文は異なるデータ属性であり、矛盾しない。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-026,PAIR,B,D,REQ-ASSET-002,REQ-PURPOSE-002,同じアセットを、 複数の問題や教材から再利用できること。,1つの問題を、 複数の目的別問題集から再利用できること。,初期リリース必須,初期リリース必須,RULE,RULE,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=11 similarity=0.424,REVIEWED,KEEP_SEPARATE,アセットの再利用と問題の目的別問題集での再利用は、再利用対象となるエンティティが異なる。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-027,PAIR,B,C,REQ-ASSET-006,REQ-REGISTRATION-005,同一アセットについて、 画面用、印刷用、縮小表示用などの 複数の派生ファイルを管理できること。,教材登録時に、 通常教材、目的別問題集、印刷用出力、 表示アセットなどの関連データを 別々に検証できること。,初期リリース後,初期リリース必須,DATA,FUNC,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=25 similarity=0.167,REVIEWED,KEEP_SEPARATE,派生アセット管理は将来拡張データであり、教材登録時に関連データを個別検証する初期機能と矛盾しない。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-028,PAIR,B,B,REQ-ASSET-006,REQ-VISUAL-006,同一アセットについて、 画面用、印刷用、縮小表示用などの 複数の派生ファイルを管理できること。,画面表示用のサイズ・配置と、 印刷用のサイズ・配置を別々に設定できること。,初期リリース後,初期リリース必須,DATA,DATA,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=30 similarity=0.161,REVIEWED,KEEP_SEPARATE,派生ファイルそのものの管理と、画面・印刷でのサイズや配置設定は異なる。リリース区分差も妥当である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-029,PAIR,B,B,REQ-EVIDENCE-004,REQ-REASONING-003,複数の資料を比較または関連付けて 判断する問題を表現できること。,複数の立場、観点、条件を考慮して 判断する問題を表現できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=17 similarity=0.400,REVIEWED,KEEP_SEPARATE,複数資料の比較と複数の立場・条件を考慮する思考は異なる問題特性である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-030,PAIR,B,B,REQ-GRAPH-004,REQ-TIMELINE-001,座標平面について、 表示範囲、軸、目盛り、点、直線などを 構造化して管理できること。,年表について、 年代範囲と出来事を構造化して管理できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=29 similarity=0.372,REVIEWED,KEEP_SEPARATE,座標平面と年表は異なる表示資料構造であり、構造化管理という共通表現だけによる類似候補である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-031,PAIR,B,B,REQ-MEDIA-010,REQ-MEDIA-011,構造化された表およびグラフを表示資料として扱えること。,長文および会話文を、 問題と関連する表示資料として扱えること。,初期リリース必須,初期リリース必須,FUNC,FUNC,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=25 similarity=0.333 prefix=MEDIA,REVIEWED,KEEP_SEPARATE,表・グラフと長文・会話文は異なる表示資料形式であり、個別対応要件として維持する。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-032,PAIR,B,B,REQ-MEDIA-010,REQ-MEDIA-012,構造化された表およびグラフを表示資料として扱えること。,音声を表示・再生資料として扱えること。,初期リリース必須,初期リリース必須,FUNC,FUNC,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=17 similarity=0.367 prefix=MEDIA,REVIEWED,KEEP_SEPARATE,表・グラフと音声は表示・再生方法およびデータ形式が異なる。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-033,PAIR,B,B,REQ-MEDIA-010,REQ-MEDIA-013,構造化された表およびグラフを表示資料として扱えること。,動画を表示資料として扱えること。,初期リリース必須,将来候補,FUNC,FUNC,CONTRADICTION;SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=9 similarity=0.444 prefix=MEDIA || requirements_contradiction_candidates_v0_1.txt block=3 similarity=0.444,REVIEWED,KEEP_SEPARATE,表・グラフと動画は別媒体である。動画を将来候補とするリリース区分差も妥当である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-034,PAIR,B,B,REQ-MEDIA-011,REQ-MEDIA-012,長文および会話文を、 問題と関連する表示資料として扱えること。,音声を表示・再生資料として扱えること。,初期リリース必須,初期リリース必須,FUNC,FUNC,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=30 similarity=0.303 prefix=MEDIA,REVIEWED,KEEP_SEPARATE,長文・会話文と音声は異なる媒体および提示方式である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-035,PAIR,B,B,REQ-MEDIA-011,REQ-MEDIA-013,長文および会話文を、 問題と関連する表示資料として扱えること。,動画を表示資料として扱えること。,初期リリース必須,将来候補,FUNC,FUNC,CONTRADICTION;SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=18 similarity=0.367 prefix=MEDIA || requirements_contradiction_candidates_v0_1.txt block=6 similarity=0.367,REVIEWED,KEEP_SEPARATE,長文・会話文と動画は異なる媒体であり、動画のみ将来候補であることも矛盾しない。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-036,PAIR,B,B,REQ-MEDIA-012,REQ-MEDIA-013,音声を表示・再生資料として扱えること。,動画を表示資料として扱えること。,初期リリース必須,将来候補,FUNC,FUNC,CONTRADICTION;SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=3 similarity=0.579 prefix=MEDIA || requirements_contradiction_candidates_v0_1.txt block=2 similarity=0.579,REVIEWED,KEEP_SEPARATE,音声と動画は異なる媒体であり、音声を初期必須、動画を将来候補とする区分は妥当である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-037,PAIR,B,D,REQ-QUESTION-002,REQ-TIMER-001,問題ごとに、学習者向けの短い表示名を設定できること。,問題ごとに、推奨回答時間を設定できること。,初期リリース必須,初期リリース必須,DATA,RULE,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=30 similarity=0.367,REVIEWED,KEEP_SEPARATE,学習者向け表示名と推奨回答時間は、問題に属する別属性である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-038,PAIR,B,B,REQ-TABLE-003,REQ-TIMELINE-004,構造化した表を、 画面表示と印刷出力の両方に利用できること。,年表を、 画面表示と印刷出力の両方で利用できること。,初期リリース必須,初期リリース必須,FUNC,FUNC,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=3 similarity=0.655,REVIEWED,KEEP_SEPARATE,表の画面・印刷共用という一般機能と、年表に対する具体的な共用機能は別の資料種別を扱う。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-039,PAIR,B,,REQ-VISUAL-002,,1つの問題へ、 複数の表示資料を関連付けられること。,,初期リリース必須,,DATA,,SIMILARITY_CROSS_PREFIX,REQ-MEDIA-003,requirements_cross_prefix_similarity_candidates_v0_1.txt block=6 similarity=0.483,REVIEWED,LEGACY_RESOLVED,旧REQ-MEDIA-003は現行正本に存在せず、複数表示資料を問題へ関連付ける要求はREQ-VISUAL-002として保持されているため、旧候補は整理済みとする。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-040,SINGLE,B,,REQ-ANSWER-001,,問題形式に応じて、次の解答方式を扱えること。 - 正確一致 - 複数の許容解答 - 数値解答 - 自由記述 - 学習者または保護者による自己判定 - 評価基準に基づく採点,,初期リリース必須,,FUNC,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=45 score=13.73 length=73 bullets=6 numbered=0 connectors=1,REVIEWED,KEEP_SEPARATE,列挙は問題形式に応じた解答方式の選択肢であり、共通の判定機能として一体で扱うべきである。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-041,SINGLE,B,,REQ-ASSET-003,,アセットについて、 元資料または生成方法を記録できること。 例: - 自作 - 描画ツールから生成 - 構造化データから生成 - スキャン - 外部素材 - 教科書・ワーク・公式資料,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=43 score=13.77 length=77 bullets=6 numbered=0 connectors=1,REVIEWED,KEEP_SEPARATE,列挙はアセットの生成元または取得元を示す分類例であり、個別要求への分割は不要である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-042,SINGLE,B,,REQ-AUDIO-001,,音声について、次の種別を扱えること。 - 単語 - 文 - 会話 - 長文 - 指示音声,,初期リリース必須,,RULE,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=73 score=10.34 length=34 bullets=5 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙は音声資料の種別値であり、共通の音声管理要求として一体で扱う。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-043,SINGLE,B,,REQ-COMPOSITE-002,,英検などの面接カードについて、 少なくとも次を組み合わせて管理できること。 - タイトル - パッセージ - イラスト - 設問 - 回答メモ欄,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=60 score=11.61 length=61 bullets=5 numbered=0 connectors=1,REVIEWED,KEEP_SEPARATE,列挙項目は面接カードという複合資料を構成する要素であり、独立要求へ分割すると構成要件が分散する。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-044,SINGLE,B,,REQ-EVIDENCE-001,,学習活動で扱う次の要素を、 互いに区別して管理できること。 - 観察または調査で得た事実 - 実験結果 - 資料から読み取った情報 - 学習者による考察 - 根拠を伴う説明 - 結論または提案,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=37 score=14.83 length=83 bullets=6 numbered=0 connectors=2,REVIEWED,KEEP_SEPARATE,列挙は事実・根拠・考察・結論を区別する共通データ原則であり、一体で保持する必要がある。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-045,SINGLE,B,,REQ-GEOMETRY-003,,作図問題について、 次を指定できること。 - 作図欄の大きさ - 基準となる図 - 図への書き込み可否 - 定規の要否 - コンパスの要否,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=67 score=10.58 length=58 bullets=5 numbered=0 connectors=0,REVIEWED,KEEP_SEPARATE,列挙は作図問題に必要な設定属性であり、1つの問題形式の構成としてまとめて保持する。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-046,SINGLE,B,,REQ-GRAPH-002,,少なくとも次のグラフ種類を扱えること。 - 折れ線 - 棒 - 円 - ヒストグラム - 散布図 - 比例 - 反比例,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=35 score=15.45 length=45 bullets=7 numbered=0 connectors=1,REVIEWED,KEEP_SEPARATE,列挙は扱えるグラフ種別の選択肢であり、種別ごとの独立要求への分割は不要である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
RVIEW-047,SINGLE,B,,REQ-GRAPH-003,,グラフについて、 少なくとも次を設定できること。 - 横軸と縦軸 - 軸の名称 - 単位 - 表示範囲 - 目盛り - 補助線 - 点または系列 - 書き込み可否,,初期リリース必須,,DATA,,GRANULARITY,,requirements_granularity_candidates_v0_1.txt block=16 score=18.64 length=64 bullets=8 numbered=0 connectors=2,REVIEWED,KEEP_SEPARATE,列挙はグラフという単一資料に属する表示・入力属性である。,NO,B,full_rebuild_detailed_requirement_review_domain_b_decisions_v0_1.csv
