source_requirement_id,relation_type,target_requirement_id,reason,primary_source_file,primary_source_line,primary_source_format,all_source_files,source_occurrence_count
REQ-ACCESS-007,STRUCTURE,REQ-CATALOG-DIMENSION-002,問題形式上、文字起こしを提示できるかを判断するには、学習内容や技能と問題形式を分離して管理できる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,99,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-007,VALIDATION,REQ-COPYRIGHT-003,文字起こしや代替情報を提供できる範囲を判断するには、資料ごとの公開可能・非公開・家庭内限定などの利用範囲が管理されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,97,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-008,FUNCTION,REQ-ACCESS-003,利用者ごとの文字サイズ調整を提供するには、基準となる読み取り・操作しやすい表示サイズが定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,101,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-008,PRESENTATION,REQ-ACCESS-002,文字サイズや表示密度を変更しても表示を破綻させないため、画面サイズに応じて要素を表示領域内へ収める仕組みを前提とする。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,103,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ADMIN-001,DATA,REQ-CONTENT-003,教材、問題、問題集、分類を確認するには、それぞれが分離された管理対象として定義されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,80,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-001,FUNCTION,REQ-CATALOG-005,学校教科と検定の学習分類を共通の参照方式で確認できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,82,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-001,STRUCTURE,REQ-UI-001,管理用画面を提供するには、主要機能領域として管理機能が整理されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,78,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-002,DATA,REQ-PURPOSE-009,編集・公開管理には、表示名、対象問題、出題順、公開状態などを管理できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,88,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-002,FUNCTION,REQ-PURPOSE-005,目的別問題集を作成するには、管理者が問題を明示選択して集合を構成できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,86,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-002,STRUCTURE,REQ-ADMIN-001,目的別問題集を管理するには、管理用画面で教材や問題集を確認できる基礎画面が必要である。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,84,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-002,VALIDATION,REQ-REGISTRATION-COMPLETE-005,公開前に参照先問題の存在、利用可能状態、重複を検証できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,90,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-003,DATA,REQ-QUESTION-001,問題文や解答と分類・出典などのメタデータが分離管理されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,94,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-003,DATA,REQ-TAG-002,問題形式を確認するには、問題形式分類が設定されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,96,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-003,DATA,REQ-VISUAL-004,表示資料と印刷属性を確認するには、資料ごとの表示・印刷・出典情報が管理されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,98,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-003,STRUCTURE,REQ-ADMIN-001,問題の詳細属性を確認するには、管理用画面の基本的な教材・問題参照機能を前提とする。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,92,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-004,DATA,REQ-DASHBOARD-003,問題、教材、目的別問題集、周回、弱点・定着状態の単位で進捗を確認できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,102,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-004,DATA,REQ-MASTERY-001,弱点・定着管理が周回管理と分離された長期学習機能として定義されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,106,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-004,DATA,REQ-PROGRESS-006,目的別問題集固有の実行履歴、達成状況、周回状態を管理できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,104,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-004,STRUCTURE,REQ-ADMIN-001,進捗や履歴を管理画面で確認するには、管理画面の基本構造を前提とする。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,100,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-005,STRUCTURE,REQ-ADMIN-001,教材や問題の検証結果を表示するには、対象データを管理画面から参照できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,108,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-005,VALIDATION,REQ-INTEGRITY-005,検証結果について対象、原因、重大度、推奨対応を表示できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,112,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-005,VALIDATION,REQ-VALIDATION-001,必須項目、ID重複、参照先、集計値、状態を機械検証できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,110,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-006,FUNCTION,REQ-PRINT-NAV-002,教材、目的別問題集、弱点問題、本番形式問題集を印刷対象として選択できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,116,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-006,FUNCTION,REQ-PRINT-NAV-003,問題用紙、解答用紙、解答一覧、解答・解説などの出力物を選択できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,118,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-006,STRUCTURE,REQ-ADMIN-001,印刷対象を管理画面から選択するには、管理画面の基本構造を前提とする。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,114,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-007,FUNCTION,REQ-BACKUP-001,バックアップ操作には、復元可能なバックアップを出力できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,122,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-007,FUNCTION,REQ-RESET-002,リセット操作には、実行履歴、達成状況、周回状態、学習事実全体を分離できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,126,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-007,FUNCTION,REQ-RESTORE-001,復元操作には、対応するバックアップから管理対象データを復元できる必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,124,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-007,STRUCTURE,REQ-ADMIN-001,保守操作を提供するには、管理用画面の基本構造を前提とする。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,120,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-008,FUNCTION,REQ-ADMIN-007,影響の大きい確認操作を適用する対象として、バックアップ、復元、リセットなどの保守操作が定義されている必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,128,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-008,PRESENTATION,REQ-RESET-005,学習事実削除時には、削除対象と影響範囲を事前表示し強い確認を要求する必要がある。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,130,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ADMIN-009,CONCEPT,REQ-SCOPE-003,管理用機能を保護するには、家庭内の管理者による教材作成・管理利用を対象とする前提が必要である。,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,132,ARROW,requirements_screen_interaction_progress_d3_dependency_integrated_v0_1.md,1
REQ-ANSWER-001,STRUCTURE,REQ-QUESTION-001,問題形式に応じた解答方式を定義するため,requirements_answer_scoring_dependency_integrated_v0_1.md,63,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-002,DATA,REQ-QUESTION-001,許容解答を問題ごとに保持するため,requirements_answer_scoring_dependency_integrated_v0_1.md,65,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-002,FUNCTION,REQ-ANSWER-001,正確一致以外に複数の許容解答を扱うため,requirements_answer_scoring_dependency_integrated_v0_1.md,48,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-003,DATA,REQ-QUESTION-001,採点条件を問題ごとに設定するため,requirements_answer_scoring_dependency_integrated_v0_1.md,67,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-003,FUNCTION,REQ-ANSWER-001,解答方式ごとの採点条件を追加するため,requirements_answer_scoring_dependency_integrated_v0_1.md,50,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-004,FUNCTION,REQ-ANSWER-001,自動判定が適さない解答方式を扱うため,requirements_answer_scoring_dependency_integrated_v0_1.md,52,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-004,FUNCTION,REQ-ANSWER-003,手動採点の要否設定に基づいて判定方法を切り替えるため,requirements_answer_scoring_dependency_integrated_v0_1.md,54,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-004,REFERENCE,REQ-QUESTION-001,手動判定対象となる問題を識別するため,requirements_answer_scoring_dependency_integrated_v0_1.md,69,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-005,DATA,REQ-QUESTION-001,評価基準を問題ごとに関連付けるため,requirements_answer_scoring_dependency_integrated_v0_1.md,71,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-005,FUNCTION,REQ-ANSWER-001,評価基準に基づく採点方式を具体化するため,requirements_answer_scoring_dependency_integrated_v0_1.md,56,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ANSWER-005,FUNCTION,REQ-ANSWER-004,手動判定時に複数観点の評価を行うため,requirements_answer_scoring_dependency_integrated_v0_1.md,58,ARROW,requirements_answer_scoring_dependency_integrated_v0_1.md,1
REQ-ASSET-001,STRUCTURE,REQ-VISUAL-001,表示資料の実体を独立したアセットとして識別するには、表示資料を問題本文とは分離したデータとして管理する基本構造が必要である。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,64,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-002,STRUCTURE,REQ-VISUAL-001,,requirements_foundation_dependency_integrated_v0_1.md,38,TABLE,requirements_foundation_dependency_integrated_v0_1.md;requirements_foundation_dependency_integrated_v0_2.md;requirements_foundation_dependency_integrated_v0_3.md,3
REQ-ASSET-003,REFERENCE,REQ-SOURCE-002,アセットの元資料を記録するには、教科書範囲と問題作成・確認に使用した資料を分離して管理できる必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,66,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-003,STRUCTURE,REQ-ASSET-001,元資料や生成方法を記録するには、記録対象のアセットが一意に識別されている必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,65,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-004,PRESENTATION,REQ-MEDIA-006,画像欠落時に代替テキストを表示するには、画像へ代替テキストが設定されている必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,68,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-004,STRUCTURE,REQ-ASSET-001,取得・表示に失敗したアセットを特定するには、アセットが一意に識別されている必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,67,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-005,STRUCTURE,REQ-STATUS-001,,requirements_foundation_dependency_integrated_v0_1.md,40,TABLE,requirements_foundation_dependency_integrated_v0_1.md;requirements_foundation_dependency_integrated_v0_2.md;requirements_foundation_dependency_integrated_v0_3.md,3
REQ-ASSET-005,STRUCTURE,REQ-VISUAL-001,,requirements_foundation_dependency_integrated_v0_1.md,39,TABLE,requirements_foundation_dependency_integrated_v0_1.md;requirements_foundation_dependency_integrated_v0_2.md;requirements_foundation_dependency_integrated_v0_3.md,3
REQ-ASSET-006,PRESENTATION,REQ-VISUAL-006,画面用・印刷用・縮小表示用の派生を区別するには、画面表示設定と印刷設定を別々に管理できる必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,70,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-ASSET-006,STRUCTURE,REQ-ASSET-001,同一アセットの複数派生ファイルを管理するには、派生元となるアセットを一意に識別できる必要がある。,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,69,TABLE,requirements_visual_print_file_output_e1_dependency_integrated_v0_1.md,1
REQ-AUDIO-001,REFERENCE,REQ-QUESTION-001,単語・文・会話・長文・指示音声を問題形式と関連付けるため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,91,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-001,STRUCTURE,REQ-ASSET-001,音声を問題や教材から参照可能なアセットとして扱うため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,89,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-002,DATA,REQ-AUDIO-001,文字起こしを対象音声へ関連付けるため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,64,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-002,STRUCTURE,REQ-ASSET-001,音声アセットの付随情報として文字起こしを保持するため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,93,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-003,FUNCTION,REQ-AUDIO-001,登録された音声を通常再生または繰り返し再生するため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,66,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-003,REFERENCE,REQ-PLAYER-001,学習実行中の音声再生操作として提供するため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,95,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-004,FUNCTION,REQ-AUDIO-003,基本再生方式を拡張してシャドーイング等を提供するため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,68,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUDIO-004,REFERENCE,REQ-PURPOSE-003,学習目的に応じて音声再生方式を選択するため,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,97,ARROW,requirements_mobile_audio_speaking_dependency_integrated_v0_1.md,1
REQ-AUTHORING-001,FUNCTION,REQ-CONTENT-001,教科書の基本事項から作成した内容を学習に利用するには、問題を採点と進捗記録が可能な再利用単位として管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,59,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-001,REFERENCE,REQ-SOURCE-001,教科書の基本事項から問題を作成するには、学校教科の問題へ対応する教科書ページまたは教科書範囲を設定できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,60,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-002,STRUCTURE,REQ-SOURCE-002,ワークやプリントの内容を対応する教科書範囲へ関連付けるには、教科書範囲情報と問題作成・内容確認に使用した資料を別の情報として管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,61,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-003,FUNCTION,REQ-SOURCE-007,既存問題と新規資料を照合して不足観点を確認するには、複数教材を照合し、不足している知識・技能・問題形式を確認できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,67,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-003,REFERENCE,REQ-CATALOG-REF-001,既存問題と新規資料を同じ学習内容の単位で照合するには、各問題を1つ以上のカタログ項目へ関連付けられる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,68,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-004,REFERENCE,REQ-TAG-001,問題の分類を検証するには、問題へ内容領域を示す分類を設定できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,73,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-004,STRUCTURE,REQ-QUESTION-001,問題作成後に内容、正解、解説、分類、出典を検証するには、問題文、解答、解説、分類・出典などのメタデータを分離して管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,74,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-004,VALIDATION,REQ-ANSWER-001,問題の正解を検証するには、問題形式に応じた解答方式および採点方式を定義できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,75,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-004,VALIDATION,REQ-COPYRIGHT-001,問題の出典を検証するには、問題、本文、画像、図表、音声などについて出典と権利状態を管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,76,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-005,VALIDATION,REQ-VALIDATION-001,教材登録前に必須項目、参照先、識別子の重複などを機械的に検証するには、それらを対象とする共通の教材登録時検証が必要である。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,77,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-001,REFERENCE,REQ-SOURCE-003,教材または問題集の作成に使用した複数の原本や資料を記録するには、1つの問題へ複数の出典資料を関連付けられる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,69,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-001,STRUCTURE,REQ-SOURCE-002,教材または問題集の作成に使用した原本・資料と対象範囲を記録するには、教科書範囲などの範囲情報と、問題作成・内容確認に使用した資料を分離して管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,70,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-003,REFERENCE,REQ-QUESTION-004,学校教科教材の対象範囲を作成結果として記録するには、教科、学年、単元、教科書範囲、定期テスト範囲との関係を管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,78,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-003,REFERENCE,REQ-QUESTION-005,検定教材の対象範囲を作成結果として記録するには、検定種別、級、試験区分、公式出題範囲、出題形式を管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,79,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-003,REFERENCE,REQ-TAG-002,教材または問題集の問題形式を作成結果として記録するには、各問題へ問題形式を示す分類を設定できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,80,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-003,STRUCTURE,REQ-COLLECTION-001,教材または問題集の作成問題数を記録するには、問題集を既存問題を参照する集合として管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,81,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-004,DATA,REQ-QUALITY-REVIEW-004,人によるレビューの実施結果を記録するには、問題または教材について採用、要修正、保留、不採用などのレビュー状態を管理できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,89,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
REQ-AUTHORING-TRACE-004,VALIDATION,REQ-AUTHORING-005,教材または問題集について機械検証の実施結果を記録するには、教材登録前に必須項目、参照先、識別子の重複などを機械的に検証できる必要がある。,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md,90,TABLE,requirements_authoring_registration_tracking_dependency_integrated_v0_1.md;requirements_authoring_registration_tracking_dependency_integrated_v0_2.md,2
